title,label,description
Developer,Background,"<p>Develop exclusively free, open source software in the name of open science.</p>

<p>The <a href=""http://cos.io"">Center for Open Science</a> is a funded non-profit startup looking for OSS developers who are passionate about modern web and API practices (and, ideally, science) with expertise across the web development stack. Open source has changed how software development works, and we want to apply the same principles to the sciences. Everything we develop is exclusively <a href=""http://github.com/CenterForOpenScience"">free and open source</a>.</p>

<p>&nbsp;</p>
"
Developer,Core Technologies,"<ul>
	<li>Python</li>
	<li>Micro-frameworks (e.g., Flask)</li>
	<li>Git</li>
	<li>Javascript</li>
	<li>Javascript Frameworks (e.g., Knockout)</li>
	<li>No-SQL Databases (e.g., MongoDB)</li>
	<li>API development</li>
</ul>

<p>We are much more concerned about collaboration, passion, and ability than the actual technologies you use. We believe that a great developer should be a great developer in any language. We focus on Python in that Python developers typically value readability and community, and we are missioned with connecting and educating the open science and open source communities. The Python community represents what an effective community should look like and has strong ties to the sciences. As long as your values are aligned with those, we want to hear from you.</p>
"
Developer,Location,"<p>The Center for Open Science is <a href=""http://centerforopenscience.org/jobs/#location"">located in Charlottesville, Virginia</a>.</p>
"
Developer,Benefits,"<p>The Center for Open Science offers full time employees 401(k), health/dental/vision insurance, and 15 days of paid time off, in addition to a modern office space and <a href=""http://centerforopenscience.org/jobs/#benefits"">other amenities</a>.</p>
"
Developer,Applying,"<p>The Center for Open Science is an equal opportunity employer and strongly encourages applications from members of groups underrepresented in science and technology industries.</p>

<p>Please submit a resume and cover letter explaining your background and interest in the position <a href=""http://www.jobscore.com/jobs/centerforopenscience"" target=""_blank"">here</a>. Questions about the position and COS are welcome and can be directed to <a href=""mailto:jobs@cos.io"">jobs@cos.io</a>. You can also see more on <a href=""https://github.com/centerforopenscience"">GitHub</a>.</p>
"
Developer,Referrals,"<p>COS offers $1,000 hiring bounty for full-time Developer positions. The Center for Open Science has a unique work environment for extremely talented developers: [1] we develop exclusively free, open source software; [2] we are a well-resourced, mission-driven, non-profit tech start-up; and, [3] we serve and support the open source and open science communities.</p>

<p>This is a great job for many and a perfect job for a few. The perfect candidate is the person already doing open source in their free time while wishing that they could make a living doing it all the time. We need to find these people; you can help. COS encourages women and members of underrepresented groups in technology and science to apply.</p>

<p>If you know someone who lives and breathes open source and is passionate about collaboration, sharing, science, and making a difference, then encourage them to apply. If we hire that person as a full-time developer, we will send you a check for $1,000.</p>

<p>This is not an invitation to spam others on our behalf. Reach out to developers you know personally, or tweet and post our link to your social communities. We will ask applicants how they found about the position when they apply.</p>
"
Developer,Background,"<p>Same as above but in summer or part-time internship form; students will work with our developers and carve out their own open science project.</p>
"
Developer,Location,"<p>The Center for Open Science is <a href=""http://centerforopenscience.org/jobs/#location"">located in Charlottesville, Virginia</a>.</p>
"
Developer,Benefits,"<p>You&rsquo;ll be able to quickly try a lot of what Charlottesville has to offer as the Center has prime office space downtown and caters two staff lunches per week. We have dedicated parking, 27&#39;&#39; monitors in an open workspace with floor-to-ceiling windows (private offices are not assigned, but used as-needed), a stocked kitchen, and white-board walls. See more about <a href=""http://centerforopenscience.org/jobs/#benefits"">amenities</a>.</p>

<p>COS interns who have to relocate to Charlottesville will be eligible for reimbursement up to $250 for pre-approved travel costs (including rental car, taxi, plane, train, hotel, or mileage if using a personal vehicle). COS will assist interns with locating temporary housing in the area as well. Please refer to this relocation document for helpful tips on moving to Charlottesville for the summer.</p>
"
Developer,Applying,"<p>The Center for Open Science is an equal opportunity employer and strongly encourages applications from members of groups underrepresented in science and technology industries.</p>

<p>Please send a resume and cover letter explaining your background and interest in the position <a href=""http://www.jobscore.com/jobs/centerforopenscience"" target=""_blank"">here</a>. Questions about the position and COS are welcome and can be directed to <a href=""mailto:jobs@cos.io"">jobs@cos.io</a>. You can also see more on <a href=""https://github.com/centerforopenscience"">GitHub</a>.</p>
"
